Organizational Set Name|Organizational Set Description|Org Set Type|Job in Org Set
FG-RT-10377789|Fund Group Org Set Reports to 10377789|All|UCSDH/Health Physician Group/Faculty Practice/4310087/2426
FG-RT-10377789|Fund Group Org Set Reports to 10377789|All|UCSDH/Health Physician Group/Faculty Practice/4310087/2761
FG-RT-10377789|Fund Group Org Set Reports to 10377789|All|UCSDH/Medical Center/Neurology/4200610/610
FG-RT-10377789|Fund Group Org Set Reports to 10377789|All|UCSDH/Medical Center/Neurology/4200740/740
FG-RT-10390497|Fund Group Org Set Reports to 10390497|All|UCSDH/Health Physician Group/East Campus/4310022/2887
FG-RT-10390497|Fund Group Org Set Reports to 10390497|All|UCSDH/Health Physician Group/Faculty Practice/4310056/2578
FG-RT-10394352|Fund Group Org Set Reports to 10394352|All|UCSDH/Medical Center/Radiology/4200183/183
FG-RT-10394352|Fund Group Org Set Reports to 10394352|All|UCSDH/Medical Center/Radiology/4200191/191
FG-RT-10394352|Fund Group Org Set Reports to 10394352|All|UCSDH/Medical Center/Radiology/4200202/202
FG-RT-10394352|Fund Group Org Set Reports to 10394352|All|UCSDH/Medical Center/Radiology/4200204/204
FG-RT-10394352|Fund Group Org Set Reports to 10394352|All|UCSDH/Medical Center/Radiology/4200205/205
FG-RT-10394352|Fund Group Org Set Reports to 10394352|All|UCSDH/Medical Center/Radiology/4200206/206
FG-RT-10394352|Fund Group Org Set Reports to 10394352|All|UCSDH/Medical Center/Radiology/4200317/317
FG-RT-10394352|Fund Group Org Set Reports to 10394352|All|UCSDH/Medical Center/Radiology/4200322/322
FG-RT-10394352|Fund Group Org Set Reports to 10394352|All|UCSDH/Medical Center/Radiology/4200617/617
FG-RT-10394352|Fund Group Org Set Reports to 10394352|All|UCSDH/Medical Center/Radiology/4200627/627
FG-RT-10394352|Fund Group Org Set Reports to 10394352|All|UCSDH/Medical Center/Radiology/4200704/704
FG-RT-10394352|Fund Group Org Set Reports to 10394352|All|UCSDH/Medical Center/Radiology/4200757/757
FG-RT-10394352|Fund Group Org Set Reports to 10394352|All|UCSDH/Medical Center/Radiology/4200758/758
FG-RT-10394352|Fund Group Org Set Reports to 10394352|All|UCSDH/Medical Center/Radiology/4200761/761
FG-RT-10400147|Fund Group Org Set Reports to 10400147|All|UCSDH/Medical Center/Perioperative/4200326/326
FG-RT-10400147|Fund Group Org Set Reports to 10400147|All|UCSDH/Medical Center/Perioperative/4200795/795
FG-RT-10400182|Fund Group Org Set Reports to 10400182|All|UCSDH/Medical Center/Nursing/4200236/236
FG-RT-10400187|Fund Group Org Set Reports to 10400187|All|UCSDH/Medical Center/Pharmacy/4200765/765
FG-RT-10400187|Fund Group Org Set Reports to 10400187|All|UCSDH/Medical Center/Pharmacy/4200769/769
FG-RT-10400280|Fund Group Org Set Reports to 10400280|All|UCSDH/Medical Center/Lab/4200161/161
FG-RT-10400280|Fund Group Org Set Reports to 10400280|All|UCSDH/Medical Center/Lab/4200179/179
FG-RT-10400280|Fund Group Org Set Reports to 10400280|All|UCSDH/Medical Center/Lab/4200181/181
FG-RT-10400280|Fund Group Org Set Reports to 10400280|All|UCSDH/Medical Center/Lab/4200730/730
FG-RT-10400329|Fund Group Org Set Reports to 10400329|All|UCSDH/Medical Center/Pharmacy/4200284/284
FG-RT-10400340|Fund Group Org Set Reports to 10400340|All|UCSDH/PHSO/MSO Admin/4441027/2660
FG-RT-10400410|Fund Group Org Set Reports to 10400410|All|UCSDH/Medical Center/PT-OT/4200659/659
FG-RT-10400410|Fund Group Org Set Reports to 10400410|All|UCSDH/Medical Center/PT-OT/4200775/775
FG-RT-10400444|Fund Group Org Set Reports to 10400444|All|UCSDH/Health Physician Group/Faculty Practice/4310042/2457
FG-RT-10400444|Fund Group Org Set Reports to 10400444|All|UCSDH/Health Physician Group/Faculty Practice/4310044/2450
FG-RT-10400479|Fund Group Org Set Reports to 10400479|All|UCSDH/Health Physician Group/Faculty Practice/4310009/2554
FG-RT-10400479|Fund Group Org Set Reports to 10400479|All|UCSDH/Health Physician Group/Faculty Practice/4310104/2038
FG-RT-10400521|Fund Group Org Set Reports to 10400521|All|UCSDH/Medical Center/Security/4200843/843
FG-RT-10400552|Fund Group Org Set Reports to 10400552|All|UCSDH/Medical Center/CVC - Cardiovascular/4200242/242
FG-RT-10400593|Fund Group Org Set Reports to 10400593|All|UCSDH/Health Physician Group/Faculty Practice/4310152/2582
FG-RT-10400593|Fund Group Org Set Reports to 10400593|All|UCSDH/PHSO/One Medical/4441085/2741
FG-RT-10400655|Fund Group Org Set Reports to 10400655|All|UCSDH/Medical Center/PT-OT/4200224/224
FG-RT-10400656|Fund Group Org Set Reports to 10400656|All|UCSDH/Medical Center/Experience/4200916/916
FG-RT-10400674|Fund Group Org Set Reports to 10400674|All|UCSDH/Medical Center/Perioperative/4200150/150
FG-RT-10400696|Fund Group Org Set Reports to 10400696|All|UCSDH/Medical Center/Experience/4200916/916
FG-RT-10400770|Fund Group Org Set Reports to 10400770|All|UCSDH/PHSO/MSO Admin/4441027/2660
FG-RT-10400770|Fund Group Org Set Reports to 10400770|All|UCSDH/PHSO/MSO Admin/4441069/2768
FG-RT-10400851|Fund Group Org Set Reports to 10400851|All|UCSDH/Medical Center/EVS/4200835/835
FG-RT-10400861|Fund Group Org Set Reports to 10400861|All|UCSDH/Health Physician Group/Faculty Practice/4310015/2453
FG-RT-10400861|Fund Group Org Set Reports to 10400861|All|UCSDH/Medical Center/Oncology/4200282/282
FG-RT-10400866|Fund Group Org Set Reports to 10400866|All|UCSDH/Medical Center/Facilities/4200867/867
FG-RT-10400899|Fund Group Org Set Reports to 10400899|All|UCSDH/Medical Center/Perioperative/4200770/770
FG-RT-10400913|Fund Group Org Set Reports to 10400913|All|UCSDH/Health Physician Group/Faculty Practice/4310015/2453
FG-RT-10400913|Fund Group Org Set Reports to 10400913|All|UCSDH/Medical Center/Oncology/4200193/193
FG-RT-10400913|Fund Group Org Set Reports to 10400913|All|UCSDH/Medical Center/Oncology/4200195/195
FG-RT-10400922|Fund Group Org Set Reports to 10400922|All|UCSDH/Medical Center/OPO-Tissue/4200778/778
FG-RT-10400936|Fund Group Org Set Reports to 10400936|All|UCSDH/Medical Center/CVC - Pulmonology/4200215/215
FG-RT-10400936|Fund Group Org Set Reports to 10400936|All|UCSDH/Medical Center/CVC - Pulmonology/4200674/674
FG-RT-10400975|Fund Group Org Set Reports to 10400975|All|UCSDH/Health Physician Group/Faculty Practice/4310022/2480
FG-RT-10400975|Fund Group Org Set Reports to 10400975|All|UCSDH/Medical Center/Finance/4200904/904
FG-RT-10400994|Fund Group Org Set Reports to 10400994|All|UCSDH/Health Physician Group/Faculty Practice/4310013/2673
FG-RT-10401016|Fund Group Org Set Reports to 10401016|All|UCSDH/Medical Center/Lab/4200285/285
FG-RT-10401016|Fund Group Org Set Reports to 10401016|All|UCSDH/Medical Center/Lab/4200721/721
FG-RT-10401038|Fund Group Org Set Reports to 10401038|All|UCSDH/Medical Center/Nursing/4200404/404
FG-RT-10401137|Fund Group Org Set Reports to 10401137|All|UCSDH/Medical Center/Pharmacy/4200733/733
FG-RT-10401174|Fund Group Org Set Reports to 10401174|All|UCSDH/Medical Center/Directors Office/4200910/910
FG-RT-10401191|Fund Group Org Set Reports to 10401191|All|UCSDH/PHSO/MSO Admin/4441027/2660
FG-RT-10401254|Fund Group Org Set Reports to 10401254|All|UCSDH/Medical Center/EVS/4200835/835
FG-RT-10401336|Fund Group Org Set Reports to 10401336|All|UCSDH/Health Physician Group/Faculty Practice/4310152/2582
FG-RT-10401365|Fund Group Org Set Reports to 10401365|All|UCSDH/Medical Center/MJ - Outpatient Clinics/4200194/194
FG-RT-10401365|Fund Group Org Set Reports to 10401365|All|UCSDH/Medical Center/MJ - Outpatient Clinics/4200281/281
FG-RT-10401365|Fund Group Org Set Reports to 10401365|All|UCSDH/Medical Center/MJ - Outpatient Clinics/4200656/656
FG-RT-10401365|Fund Group Org Set Reports to 10401365|All|UCSDH/Medical Center/Oncology/4200187/187
FG-RT-10401365|Fund Group Org Set Reports to 10401365|All|UCSDH/Medical Center/Oncology/4200644/644
FG-RT-10401450|Fund Group Org Set Reports to 10401450|All|UCSDH/Medical Center/Nursing/4200615/615
FG-RT-10401466|Fund Group Org Set Reports to 10401466|All|UCSDH/Medical Center/Information Services/4200830/830
FG-RT-10401516|Fund Group Org Set Reports to 10401516|All|UCSDH/Health Physician Group/Faculty Practice/4310090/2854
FG-RT-10401762|Fund Group Org Set Reports to 10401762|All|UCSDH/Medical Center/Nursing/4200625/625
FG-RT-10401779|Fund Group Org Set Reports to 10401779|All|UCSDH/Medical Center/Supply Chain/4200871/871
FG-RT-10401782|Fund Group Org Set Reports to 10401782|All|UCSDH/Health Physician Group/Faculty Practice/4310006/2675
FG-RT-10401782|Fund Group Org Set Reports to 10401782|All|UCSDH/Health Physician Group/Faculty Practice/4310056/2578
FG-RT-10401796|Fund Group Org Set Reports to 10401796|All|UCSDH/Medical Center/ED/4200641/641
FG-RT-10401796|Fund Group Org Set Reports to 10401796|All|UCSDH/Medical Center/ED/4200665/665
FG-RT-10401805|Fund Group Org Set Reports to 10401805|All|UCSDH/Medical Center/Finance/4200933/933
FG-RT-10401834|Fund Group Org Set Reports to 10401834|All|UCSDH/Health Physician Group/Faculty Practice/4310152/2582
FG-RT-10401836|Fund Group Org Set Reports to 10401836|All|UCSDH/Medical Center/EJ - Outpatient Clinics/4200654/654
FG-RT-10401904|Fund Group Org Set Reports to 10401904|All|UCSDH/Health Physician Group/Faculty Practice/4310123/2118
FG-RT-10402030|Fund Group Org Set Reports to 10402030|All|UCSDH/Medical Center/Oncology/4200198/198
FG-RT-10402030|Fund Group Org Set Reports to 10402030|All|UCSDH/Medical Center/Perioperative/4200639/639
FG-RT-10402041|Fund Group Org Set Reports to 10402041|All|UCSDH/Health Physician Group/Community Care/4310113/2679
FG-RT-10402041|Fund Group Org Set Reports to 10402041|All|UCSDH/Health Physician Group/Community Care/4310113/2751
FG-RT-10402041|Fund Group Org Set Reports to 10402041|All|UCSDH/Health Physician Group/Community Care/4310113/2781
FG-RT-10402041|Fund Group Org Set Reports to 10402041|All|UCSDH/Health Physician Group/Community Care/4310113/2814
FG-RT-10402041|Fund Group Org Set Reports to 10402041|All|UCSDH/Health Physician Group/Faculty Practice/4310113/2823
FG-RT-10402050|Fund Group Org Set Reports to 10402050|All|UCSDH/Health Physician Group/Faculty Practice/4310028/2736
FG-RT-10402050|Fund Group Org Set Reports to 10402050|All|UCSDH/Health Physician Group/Faculty Practice/4310028/2737
FG-RT-10402052|Fund Group Org Set Reports to 10402052|All|UCSDH/Medical Center/CMO - Clinical Administration/4200196/196
FG-RT-10402052|Fund Group Org Set Reports to 10402052|All|UCSDH/Medical Center/CMO - Clinical Administration/4200985/985
FG-RT-10402063|Fund Group Org Set Reports to 10402063|All|UCSDH/Medical Center/Revenue Cycle/4200938/938
FG-RT-10402108|Fund Group Org Set Reports to 10402108|All|UCSDH/Health Physician Group/Faculty Practice/4310152/2582
FG-RT-10402118|Fund Group Org Set Reports to 10402118|All|UCSDH/Health Physician Group/Faculty Practice/4310009/2554
FG-RT-10402229|Fund Group Org Set Reports to 10402229|All|UCSDH/Medical Center/Revenue Cycle/4200825/825
FG-RT-10402229|Fund Group Org Set Reports to 10402229|All|UCSDH/Medical Center/Revenue Cycle/4200837/837
FG-RT-10402259|Fund Group Org Set Reports to 10402259|All|UCSDH/Medical Center/EVS/4200362/362
FG-RT-10402264|Fund Group Org Set Reports to 10402264|All|UCSDH/Health Physician Group/Faculty Practice/4310048/2507
FG-RT-10402264|Fund Group Org Set Reports to 10402264|All|UCSDH/Health Physician Group/Faculty Practice/4310102/2430
FG-RT-10402264|Fund Group Org Set Reports to 10402264|All|UCSDH/Health Physician Group/Faculty Practice/4310102/2842
FG-RT-10402264|Fund Group Org Set Reports to 10402264|All|UCSDH/Health Physician Group/Faculty Practice/4310188/2886
FG-RT-10402264|Fund Group Org Set Reports to 10402264|All|UCSDH/Medical Center/CAO TBD - Outpatient Clinics/4200672/672
FG-RT-10402264|Fund Group Org Set Reports to 10402264|All|UCSDH/Medical Center/CAO TBD - Outpatient Clinics/4200675/675
FG-RT-10402264|Fund Group Org Set Reports to 10402264|All|UCSDH/Medical Center/CAO TBD - Outpatient Clinics/4200681/681
FG-RT-10402264|Fund Group Org Set Reports to 10402264|All|UCSDH/Medical Center/EJ - Outpatient Clinics/4200671/671
FG-RT-10402363|Fund Group Org Set Reports to 10402363|All|UCSDH/Medical Center/CVC - Pulmonology/4200772/772
FG-RT-10402391|Fund Group Org Set Reports to 10402391|All|UCSDH/Medical Center/Medicine - Procedural/4200788/788
FG-RT-10402402|Fund Group Org Set Reports to 10402402|All|UCSDH/Medical Center/Care Management/4200874/874
FG-RT-10402402|Fund Group Org Set Reports to 10402402|All|UCSDH/Medical Center/Care Management/4200919/919
FG-RT-10402429|Fund Group Org Set Reports to 10402429|All|UCSDH/Medical Center/Revenue Cycle/4200886/886
FG-RT-10402464|Fund Group Org Set Reports to 10402464|All|UCSDH/Medical Center/Nursing/4200405/405
FG-RT-10402464|Fund Group Org Set Reports to 10402464|All|UCSDH/Medical Center/Radiology/4200411/411
FG-RT-10402556|Fund Group Org Set Reports to 10402556|All|UCSDH/Health Physician Group/East Campus/4310022/2887
FG-RT-10402556|Fund Group Org Set Reports to 10402556|All|UCSDH/Health Physician Group/Faculty Practice/4310056/2578
FG-RT-10402595|Fund Group Org Set Reports to 10402595|All|UCSDH/Health Physician Group/Community Care/4310009/2725
FG-RT-10402595|Fund Group Org Set Reports to 10402595|All|UCSDH/Health Physician Group/East Campus/4310009/2890
FG-RT-10402595|Fund Group Org Set Reports to 10402595|All|UCSDH/Health Physician Group/Faculty Practice/4310009/2554
FG-RT-10402595|Fund Group Org Set Reports to 10402595|All|UCSDH/Health Physician Group/Faculty Practice/4310104/2038
FG-RT-10402616|Fund Group Org Set Reports to 10402616|All|UCSDH/Medical Center/Finance/4200905/905
FG-RT-10402688|Fund Group Org Set Reports to 10402688|All|UCSDH/Health Physician Group/Faculty Practice/4310110/2435
FG-RT-10402688|Fund Group Org Set Reports to 10402688|All|UCSDH/Health Physician Group/Faculty Practice/4310125/2123
FG-RT-10402688|Fund Group Org Set Reports to 10402688|All|UCSDH/Medical Center/CAO TBD - Outpatient Clinics/4200672/672
FG-RT-10402715|Fund Group Org Set Reports to 10402715|All|UCSDH/Health Physician Group/Faculty Practice/4310095/2425
FG-RT-10402715|Fund Group Org Set Reports to 10402715|All|UCSDH/Health Physician Group/Faculty Practice/4310158/2785
FG-RT-10402852|Fund Group Org Set Reports to 10402852|All|UCSDH/Health Physician Group/Faculty Practice/4310187/2864
FG-RT-10402852|Fund Group Org Set Reports to 10402852|All|UCSDH/Medical Center/Security/4200361/361
FG-RT-10402888|Fund Group Org Set Reports to 10402888|All|UCSDH/Medical Center/Care Management/4200346/346
FG-RT-10402938|Fund Group Org Set Reports to 10402938|All|UCSDH/Medical Center/Information Services/4200914/914
FG-RT-10402938|Fund Group Org Set Reports to 10402938|All|UCSDH/Medical Center/Transplant/4200745/745
FG-RT-10402988|Fund Group Org Set Reports to 10402988|All|UCSDH/Medical Center/Information Services/4200864/864
FG-RT-10403025|Fund Group Org Set Reports to 10403025|All|UCSDH/Medical Center/Strategic/4200880/880
FG-RT-10403025|Fund Group Org Set Reports to 10403025|All|UCSDH/Medical Center/Strategic/4200881/881
FG-RT-10403027|Fund Group Org Set Reports to 10403027|All|UCSDH/Medical Center/Care Management/4200346/346
FG-RT-10403027|Fund Group Org Set Reports to 10403027|All|UCSDH/Medical Center/Care Management/4200918/918
FG-RT-10403027|Fund Group Org Set Reports to 10403027|All|UCSDH/Medical Center/Care Management/4200919/919
FG-RT-10403057|Fund Group Org Set Reports to 10403057|All|UCSDH/Medical Center/Facilities/4200867/867
FG-RT-10403116|Fund Group Org Set Reports to 10403116|All|UCSDH/Medical Center/CVC - Cardiovascular/4200703/703
FG-RT-10403120|Fund Group Org Set Reports to 10403120|All|UCSDH/Medical Center/Care Management/4200354/354
FG-RT-10403166|Fund Group Org Set Reports to 10403166|All|UCSDH/Medical Center/EVS/4200355/355
FG-RT-10403166|Fund Group Org Set Reports to 10403166|All|UCSDH/Medical Center/EVS/4200362/362
FG-RT-10403202|Fund Group Org Set Reports to 10403202|All|UCSDH/Medical Center/Perioperative/4200639/639
FG-RT-10403214|Fund Group Org Set Reports to 10403214|All|UCSDH/Medical Center/Nursing - Women and Infants/4200611/611
FG-RT-10403214|Fund Group Org Set Reports to 10403214|All|UCSDH/Medical Center/Nursing - Women and Infants/4200710/710
