Location Type|Parent Path|Location Name|Full Name|Description|Effective Date|Expiration Date|Address|Cost Center|Direct Work Percent|Indirect Work Percent|Timezone|Transferable|External ID
Financial Unit|UCSDH/Medical Center/Information Services|4200914|4200914|IS Inpatient Services|1900-01-01|3000-01-01|||||||
Financial Unit|UCSDH/Medical Center/Information Services|4200921|4200921|IS Systems|1900-01-01|3000-01-01|||||||
Financial Unit|UCSDH/Medical Center/Information Services|4200923|4200923|IS Web Services|1900-01-01|3000-01-01|||||||
Financial Unit|UCSDH/Medical Center/Information Services|4200930|4200930|IS Network and Telecom|1900-01-01|3000-01-01|||||||
Financial Unit|UCSDH/Medical Center/Information Services|4200984|4200984|IS Client Support|1900-01-01|3000-01-01|||||||
Financial Unit|UCSDH/Medical Center/International|4200385|4200385|International Services Program|1900-01-01|3000-01-01|||||||
Financial Unit|UCSDH/Medical Center/Interpreter Services|4200920|4200920|Interpreter Svcs|1900-01-01|3000-01-01|||||||
Financial Unit|UCSDH/Medical Center/Lab|4200161|4200161|LJ Blood Bank|1900-01-01|3000-01-01|||||||
Financial Unit|UCSDH/Medical Center/Lab|4200178|4200178|Flow Immunology Lab|1900-01-01|3000-01-01|||||||
Financial Unit|UCSDH/Medical Center/Lab|4200179|4200179|Genomics Lab|1900-01-01|3000-01-01|||||||
Financial Unit|UCSDH/Medical Center/Lab|4200180|4200180|LJ Rapid Response Lab|1900-01-01|3000-01-01|||||||
Financial Unit|UCSDH/Medical Center/Lab|4200181|4200181|Cytogenetics Lab|1900-01-01|3000-01-01|||||||
Financial Unit|UCSDH/Medical Center/Revenue Cycle|4200898|4200898|RC Improvement|1900-01-01|3000-01-01|||||||
Financial Unit|UCSDH/Medical Center/Revenue Cycle|4200911|4200911|Revenue Cycle|1900-01-01|3000-01-01|||||||
Financial Unit|UCSDH/Medical Center/Revenue Cycle|4200937|4200937|Medical Center Business O|1900-01-01|3000-01-01|||||||
Financial Unit|UCSDH/Medical Center/Revenue Cycle|4200938|4200938|HC Patient Access|1900-01-01|3000-01-01|||||||
Financial Unit|UCSDH/Medical Center/Revenue Cycle|4200960|4200960|Financial Counselors Pat Acces|1900-01-01|3000-01-01|||||||
Financial Unit|UCSDH/Medical Center/Revenue Cycle|4200962|4200962|Offsite Pat Access|1900-01-01|3000-01-01|||||||
Financial Unit|UCSDH/Medical Center/Risk Management|4200950|4200950|Risk Management|1900-01-01|3000-01-01|||||||
Financial Unit|UCSDH/Medical Center/Security|4200360|4200360|LJ Security|1900-01-01|3000-01-01|||||||
Financial Unit|UCSDH/Medical Center/Security|4200361|4200361|LJ Parking and Transportation|1900-01-01|3000-01-01|||||||
Financial Unit|UCSDH/Medical Center/Security|4200482|4200482|EC Security|1900-01-01|3000-01-01|||||||
Financial Unit|UCSDH/Medical Center/Security|4200843|4200843|Security|1900-01-01|3000-01-01|||||||
Financial Unit|UCSDH/Medical Center/Strategic|4200880|4200880|VCHS Resource Strategic Plan|1900-01-01|3000-01-01|||||||
Financial Unit|UCSDH/Medical Center/Strategic|4200881|4200881|VCHS Chief Strategic Planning|1900-01-01|3000-01-01|||||||
Financial Unit|UCSDH/Medical Center/Strategic|4200899|4200899|ECRMC Mgt Agreement|1900-01-01|3000-01-01|||||||
Financial Unit|UCSDH/Medical Center/Supply Chain|4200173|4200173|LJ Storehouse|1900-01-01|3000-01-01|||||||
Financial Unit|UCSDH/Medical Center/Supply Chain|4200496|4200496|EC Storehouse|1900-01-01|3000-01-01|||||||
Financial Unit|UCSDH/Medical Center/Supply Chain|4200846|4200846|Document Mgt Services|1900-01-01|3000-01-01|||||||
Financial Unit|UCSDH/Medical Center/Supply Chain|4200847|4200847|Mail|1900-01-01|3000-01-01|||||||
Financial Unit|UCSDH/Medical Center/Supply Chain|4200870|4200870|Supply Chain Management|1900-01-01|3000-01-01|||||||
Financial Unit|UCSDH/Medical Center/Supply Chain|4200871|4200871|HC Hospital Storehouse|1900-01-01|3000-01-01|||||||
Financial Unit|UCSDH/Medical Center/Supply Chain|4200913|4200913|Purchasing|1900-01-01|3000-01-01|||||||
Financial Unit|UCSDH/Medical Center/Transplant|4200698|4200698|Liver Transplant Program|1900-01-01|3000-01-01|||||||
Financial Unit|UCSDH/Medical Center/Transplant|4200743|4200743|Transplant Recovery Team|1900-01-01|3000-01-01|||||||
Financial Unit|UCSDH/Medical Center/Transplant|4200745|4200745|Renal Transplant|1900-01-01|3000-01-01|||||||
Financial Unit|UCSDH/Medical Center/Transplant|4200749|4200749|Lung Acquisition|1900-01-01|3000-01-01|||||||
Financial Unit|UCSDH/Medical Center/Transplant|4200755|4200755|Heart Transplant|1900-01-01|3000-01-01|||||||
Financial Unit|UCSDH/Medical Center/Women and Infants|4200209|4200209|Sorrento Fetal Diag Ultrasound|1900-01-01|3000-01-01|||||||
Financial Unit|UCSDH/Medical Center/Women and Infants|4200259|4200259|Sorrento Womens Health Svcs|1900-01-01|3000-01-01|||||||
Financial Unit|UCSDH/Medical Center/Women and Infants|4200604|4200604|HC MOP Fetal Diag Ultrasound|1900-01-01|3000-01-01|||||||
Financial Unit|UCSDH/Medical Center/Women and Infants|4200624|4200624|HC Hospitalist OB Clinic|1900-01-01|3000-01-01|||||||
Financial Unit|UCSDH/Medical Center/Women and Infants|4200663|4200663|HC Primary Care OB Gyn|1900-01-01|3000-01-01|||||||
Financial Unit|UCSDH/Medical Center/Women and Infants|4200667|4200667|COM Womens Health Plan|1900-01-01|3000-01-01|||||||
Financial Unit|UCSDH/Medical Center/Women and Infants|4200776|4200776|Women and Infants Admin|1900-01-01|3000-01-01|||||||
Financial Unit|UCSDH/PHSO/CIN|4441000|4441000|CIN|1900-01-01|3000-01-01|||||||
Financial Unit|UCSDH/PHSO/IS|4441039|4441039|PHA OPS|1900-01-01|3000-01-01|||||||
Financial Unit|UCSDH/PHSO/IS|4441040|4441040|CIN IS|1900-01-01|3000-01-01|||||||
Financial Unit|UCSDH/PHSO/MSO Admin|4441001|4441001|Clinical Operations Non Manage|1900-01-01|3000-01-01|||||||
Financial Unit|UCSDH/PHSO/MSO Admin|4441002|4441002|Digital Health|1900-01-01|3000-01-01|||||||
Financial Unit|UCSDH/PHSO/MSO Admin|4441025|4441025|MSO Population Health|1900-01-01|3000-01-01|||||||
Financial Unit|UCSDH/PHSO/MSO Admin|4441027|4441027|Network Management|1900-01-01|3000-01-01|||||||
Financial Unit|UCSDH/PHSO/MSO Admin|4441028|4441028|Clinical Ops Admin|1900-01-01|3000-01-01|||||||
Financial Unit|UCSDH/PHSO/MSO Admin|4441036|4441036|Quality Admin|1900-01-01|3000-01-01|||||||
Financial Unit|UCSDH/PHSO/MSO Admin|4441037|4441037|UCSD Purchased Services|1900-01-01|3000-01-01|||||||
Financial Unit|UCSDH/PHSO/MSO Admin|4441038|4441038|Member Services|1900-01-01|3000-01-01|||||||
Financial Unit|UCSDH/PHSO/MSO Admin|4441069|4441069|MSO Population Health Finance|1900-01-01|3000-01-01|||||||
Financial Unit|UCSDH/PHSO/One Medical|4441085|4441085|One Medical Group|1900-01-01|3000-01-01|||||||
Fund Group|UCSDH/Health Physician Group/CBCD/4310065|2521|2521|CBCD CBCD 9333 GENESEE|1900-01-01|3000-01-01|||||||
Fund Group|UCSDH/Health Physician Group/Community Care/4310003|2694|2694|CC ADMIN VIA TAZON|1900-01-01|3000-01-01|||||||
Fund Group|UCSDH/Health Physician Group/Community Care/4310003|2695|2695|CC ADMIN|1900-01-01|3000-01-01|||||||
Fund Group|UCSDH/Health Physician Group/Community Care/4310009|2725|2725|CC BILL-COLLECT|1900-01-01|3000-01-01|||||||
Fund Group|UCSDH/Health Physician Group/Community Care/4310016|2712|2712|CC CARDIOLOGY VIA TAZON|1900-01-01|3000-01-01|||||||
Fund Group|UCSDH/Health Physician Group/Community Care/4310028|2680|2680|CC OCCUPATIONAL HEALTH VIA TAZON|1900-01-01|3000-01-01|||||||
Fund Group|UCSDH/Health Physician Group/Community Care/4310030|2743|2743|CC COLLAB CARE VIA TAZON|1900-01-01|3000-01-01|||||||
Fund Group|UCSDH/Health Physician Group/Community Care/4310030|2769|2769|CC COLLAB CARE 910 SYCAMORE|1900-01-01|3000-01-01|||||||
Fund Group|UCSDH/Health Physician Group/Community Care/4310030|2801|2801|CC COLLAB CARE 1505 ENCINITAS|1900-01-01|3000-01-01|||||||
Fund Group|UCSDH/Health Physician Group/Community Care/4310030|2812|2812|CC COLLAB CARE 2295 OTAY LAKES RD|1900-01-01|3000-01-01|||||||
Fund Group|UCSDH/Health Physician Group/Community Care/4310030|2882|2882|CC COLLAB CARE PACIFIC HIGHLANDS|1900-01-01|3000-01-01|||||||
Fund Group|UCSDH/Health Physician Group/Community Care/4310033|2515|2515|CC CONCIERGE 8899 UNIV CTR|1900-01-01|3000-01-01|||||||
Fund Group|UCSDH/Health Physician Group/Community Care/4310041|2692|2692|CC DERM GEN VIA TAZON|1900-01-01|3000-01-01|||||||
Fund Group|UCSDH/Health Physician Group/Community Care/4310049|2688|2688|CC EXPRESS 1505 ENCINITAS|1900-01-01|3000-01-01|||||||
Fund Group|UCSDH/Health Physician Group/Community Care/4310049|2773|2773|CC EXPRESS WEST F ST|1900-01-01|3000-01-01|||||||
Fund Group|UCSDH/Health Physician Group/Community Care/4310049|2782|2782|CC EXPRESS 2295 OTAY LAKES RD|1900-01-01|3000-01-01|||||||
Fund Group|UCSDH/Health Physician Group/Community Care/4310049|2813|2813|CC EXPRESS PACIFIC HIGHLANDS|1900-01-01|3000-01-01|||||||
Fund Group|UCSDH/Health Physician Group/Community Care/4310049|2860|2860|CC EXPRESS VIA TAZON|1900-01-01|3000-01-01|||||||
Fund Group|UCSDH/Medical Center/EVS/4200362|362|362|LJ Environmental Services|1900-01-01|3000-01-01|||||||
Fund Group|UCSDH/Medical Center/EVS/4200484|484|484|EC Housekeeping|1900-01-01|3000-01-01|||||||
Fund Group|UCSDH/Medical Center/EVS/4200835|835|835|HC Environmental Services|1900-01-01|3000-01-01|||||||
Fund Group|UCSDH/Medical Center/EVS/4200877|877|877|HC Linen Service|1900-01-01|3000-01-01|||||||
Fund Group|UCSDH/Medical Center/Experience/4200493|493|493|EC Auxillary Groups|1900-01-01|3000-01-01|||||||
Fund Group|UCSDH/Medical Center/Experience/4200916|916|916|Patient Experience|1900-01-01|3000-01-01|||||||
Fund Group|UCSDH/Medical Center/Experience/4200959|959|959|VOLUNTEER SERVICES|1900-01-01|3000-01-01|||||||
Fund Group|UCSDH/Medical Center/Experience/4200966|966|966|MC Guest Relations|1900-01-01|3000-01-01|||||||
Fund Group|UCSDH/Medical Center/Facilities/4200363|363|363|LJ Plant Operations|1900-01-01|3000-01-01|||||||
Fund Group|UCSDH/Medical Center/Facilities/4200368|368|368|LJ Building Maintenance|1900-01-01|3000-01-01|||||||
Fund Group|UCSDH/Medical Center/Facilities/4200485|485|485|EC Plant Operations|1900-01-01|3000-01-01|||||||
Fund Group|UCSDH/Medical Center/Facilities/4200849|849|849|FACILITIES CAPITAL MANAGEMENT|1900-01-01|3000-01-01|||||||
Fund Group|UCSDH/Medical Center/Facilities/4200852|852|852|Facilities Engineering|1900-01-01|3000-01-01|||||||
Fund Group|UCSDH/Medical Center/Facilities/4200857|857|857|HC Building Operations|1900-01-01|3000-01-01|||||||
Fund Group|UCSDH/Medical Center/Facilities/4200859|859|859|HC Plant Operations|1900-01-01|3000-01-01|||||||
Fund Group|UCSDH/Medical Center/Facilities/4200861|861|861|Facilities Planning Mgm|1900-01-01|3000-01-01|||||||
Fund Group|UCSDH/Medical Center/Facilities/4200867|867|867|CONSTRUCTION PROJECT MANAGEMENT|1900-01-01|3000-01-01|||||||
Fund Group|UCSDH/Medical Center/Family Houses/4200256|256|256|La Jolla Family House|1900-01-01|3000-01-01|||||||
Fund Group|UCSDH/Medical Center/Family Houses/4200961|961|961|Bannister Family House|1900-01-01|3000-01-01|||||||
Fund Group|UCSDH/Medical Center/Finance/4200834|834|834|ESR and UCPath Implementation|1900-01-01|3000-01-01|||||||
Fund Group|UCSDH/Medical Center/Finance/4200900|900|900|Finance Office|1900-01-01|3000-01-01|||||||
Fund Group|UCSDH/Medical Center/Finance/4200901|901|901|HEALTH TIMEKEEPING SERVICES|1900-01-01|3000-01-01|||||||
Fund Group|UCSDH/Medical Center/Finance/4200904|904|904|Decision Support|1900-01-01|3000-01-01|||||||
Fund Group|UCSDH/Medical Center/Finance/4200905|905|905|FINANCIAL SERVICES|1900-01-01|3000-01-01|||||||
Fund Group|UCSDH/Medical Center/Finance/4200933|933|933|Budget Fin Forecasting|1900-01-01|3000-01-01|||||||
Fund Group|UCSDH/Medical Center/Finance/4200958|958|958|Govt Reimbursement|1900-01-01|3000-01-01|||||||
Fund Group|UCSDH/Medical Center/FNS/4200351|351|351|LJ FNS Patient Services|1900-01-01|3000-01-01|||||||
Fund Group|UCSDH/Medical Center/FNS/4200352|352|352|LJ FNS Retail Services|1900-01-01|3000-01-01|||||||
Fund Group|UCSDH/Medical Center/FNS/4200353|353|353|FNS Clinical Nutrition|1900-01-01|3000-01-01|||||||
Fund Group|UCSDH/Medical Center/FNS/4200495|495|495|EC Dietary|1900-01-01|3000-01-01|||||||
Fund Group|UCSDH/Medical Center/FNS/4200800|800|800|FNS Management|1900-01-01|3000-01-01|||||||
Fund Group|UCSDH/Medical Center/FNS/4200803|803|803|HC FNS Patient Services|1900-01-01|3000-01-01|||||||
Fund Group|UCSDH/Medical Center/FNS/4200804|804|804|HC FNS Retail Services|1900-01-01|3000-01-01|||||||
Fund Group|UCSDH/Medical Center/FNS/4200948|948|948|GIFT SHOP|1900-01-01|3000-01-01|||||||
Fund Group|UCSDH/Medical Center/General Hospital/4200931|931|931|HC MOP TRANSITION|1900-01-01|3000-01-01|||||||
Fund Group|UCSDH/Medical Center/General Hospital/4200995|995|995|COVID-19 eff. 7-1-19 (prev Org Contingency)|1900-01-01|3000-01-01|||||||
Fund Group|UCSDH/Medical Center/Health Campus Development/4200999|999|999|HEALTH CAMPUS DEVELOPMENT|1900-01-01|3000-01-01|||||||
Fund Group|UCSDH/Medical Center/Information Services/4200364|364|364|LJ Clinical Technology|1900-01-01|3000-01-01|||||||
Fund Group|UCSDH/Medical Center/Information Services/4200490|490|490|EC Clinical Technology|1900-01-01|3000-01-01|||||||
Fund Group|UCSDH/Medical Center/Information Services/4200760|760|760|Informatics|1900-01-01|3000-01-01|||||||
Fund Group|UCSDH/Medical Center/Information Services/4200826|826|826|IS PROCESS COMPONENTS|1900-01-01|3000-01-01|||||||
Fund Group|UCSDH/Medical Center/Information Services/4200830|830|830|IS Revenue Cycle|1900-01-01|3000-01-01|||||||
Fund Group|UCSDH/Medical Center/Information Services/4200831|831|831|HC Clinical Technology|1900-01-01|3000-01-01|||||||
Fund Group|UCSDH/Medical Center/Information Services/4200841|841|841|IS Audiovisual|1900-01-01|3000-01-01|||||||
Fund Group|UCSDH/Medical Center/Information Services/4200848|848|848|IS User Training|1900-01-01|3000-01-01|||||||
Fund Group|UCSDH/Medical Center/Information Services/4200850|850|850|IS Administration|1900-01-01|3000-01-01|||||||
Fund Group|UCSDH/Medical Center/Information Services/4200851|851|851|IS ERP Systems|1900-01-01|3000-01-01|||||||
Fund Group|UCSDH/Medical Center/Information Services/4200854|854|854|IS Security|1900-01-01|3000-01-01|||||||
Fund Group|UCSDH/Medical Center/Information Services/4200855|855|855|IS Access Control|1900-01-01|3000-01-01|||||||
Fund Group|UCSDH/Medical Center/Information Services/4200856|856|856|IS Enterprise Analytics|1900-01-01|3000-01-01|||||||
Fund Group|UCSDH/Medical Center/Information Services/4200864|864|864|IS PMO|1900-01-01|3000-01-01|||||||
Fund Group|UCSDH/Medical Center/Information Services/4200914|914|914|IS Inpatient Services|1900-01-01|3000-01-01|||||||
Fund Group|UCSDH/Medical Center/Information Services/4200921|921|921|IS Systems|1900-01-01|3000-01-01|||||||
Fund Group|UCSDH/Medical Center/Information Services/4200923|923|923|IS Web Services|1900-01-01|3000-01-01|||||||
Fund Group|UCSDH/Medical Center/Information Services/4200930|930|930|IS Network and Telecom|1900-01-01|3000-01-01|||||||
Fund Group|UCSDH/Medical Center/Information Services/4200984|984|984|IS Client Support|1900-01-01|3000-01-01|||||||
Fund Group|UCSDH/Medical Center/International/4200385|385|385|International Services Program|1900-01-01|3000-01-01|||||||
Fund Group|UCSDH/Medical Center/Interpreter Services/4200920|920|920|Interpreter Svcs|1900-01-01|3000-01-01|||||||
Fund Group|UCSDH/Medical Center/Lab/4200161|161|161|LJ Blood Bank|1900-01-01|3000-01-01|||||||
Fund Group|UCSDH/Medical Center/Lab/4200178|178|178|Flow Immunology Lab|1900-01-01|3000-01-01|||||||
Fund Group|UCSDH/Medical Center/Lab/4200179|179|179|GENOMICS LAB|1900-01-01|3000-01-01|||||||
Fund Group|UCSDH/Medical Center/Lab/4200180|180|180|LJ Rapid Response Lab|1900-01-01|3000-01-01|||||||
Fund Group|UCSDH/Medical Center/Lab/4200181|181|181|Cytogenetics Lab|1900-01-01|3000-01-01|||||||
Fund Group|UCSDH/Medical Center/Lab/4200182|182|182|LJ IP Phlebotomy|1900-01-01|3000-01-01|||||||
Fund Group|UCSDH/Medical Center/Lab/4200285|285|285|ENCINITAS LAB|1900-01-01|3000-01-01|||||||
Fund Group|UCSDH/Medical Center/Lab/4200450|450|450|EC Clinical Lab|1900-01-01|3000-01-01|||||||
Fund Group|UCSDH/Medical Center/Pharmacy/4200275|275|275|LJ OP Pharmacy|1900-01-01|3000-01-01|||||||
Fund Group|UCSDH/Medical Center/Pharmacy/4200276|276|276|LJ Mixed Use Pharmacy|1900-01-01|3000-01-01|||||||
Fund Group|UCSDH/Medical Center/Pharmacy/4200284|284|284|Encinitas Pharmacy|1900-01-01|3000-01-01|||||||
Fund Group|UCSDH/Medical Center/Pharmacy/4200286|286|286|ENCINITAS RETAIL PHARMACY|1900-01-01|3000-01-01|||||||
Fund Group|UCSDH/Medical Center/Pharmacy/4200313|313|313|LJ KOP Pharmacy|1900-01-01|3000-01-01|||||||
Fund Group|UCSDH/Medical Center/Pharmacy/4200649|649|649|HC MOP RETAIL PHARMACY|1900-01-01|3000-01-01|||||||
Fund Group|UCSDH/Medical Center/Pharmacy/4200657|657|657|HC MOP MAIN OR|1900-01-01|3000-01-01|||||||
Fund Group|UCSDH/Medical Center/Pharmacy/4200726|726|726|HC Infusion Pharmacy|1900-01-01|3000-01-01|||||||
Fund Group|UCSDH/Medical Center/Pharmacy/4200727|727|727|Pharmacy Administration|1900-01-01|3000-01-01|||||||
Fund Group|UCSDH/Medical Center/Pharmacy/4200729|729|729|HC Front Street Pharmacy|1900-01-01|3000-01-01|||||||
Fund Group|UCSDH/Medical Center/Pharmacy/4200733|733|733|Specialty Retail Pharmacy|1900-01-01|3000-01-01|||||||
Fund Group|UCSDH/Medical Center/Pharmacy/4200753|753|753|Pharmacy Home Infusion|1900-01-01|3000-01-01|||||||
Fund Group|UCSDH/Medical Center/Pharmacy/4200765|765|765|HC Pharmacy|1900-01-01|3000-01-01|||||||
Fund Group|UCSDH/Medical Center/Pharmacy/4200766|766|766|Pharmacy Housestaff|1900-01-01|3000-01-01|||||||
Fund Group|UCSDH/Medical Center/Pharmacy/4200769|769|769|HC Mixed Use Pharmacy|1900-01-01|3000-01-01|||||||
Fund Group|UCSDH/Medical Center/Pharmacy/4200797|797|797|HC Outpatient Pharmacy|1900-01-01|3000-01-01|||||||
Fund Group|UCSDH/Medical Center/Pharmacy/4200836|836|836|Pharmacy Invest Drug|1900-01-01|3000-01-01|||||||
Fund Group|UCSDH/Medical Center/Psychiatry/4200221|221|221|Eating Disorder Clinic|1900-01-01|3000-01-01|||||||
Fund Group|UCSDH/Medical Center/PT-OT/4200224|224|224|LJ Inpatient Therapy|1900-01-01|3000-01-01|||||||
Fund Group|UCSDH/Medical Center/PT-OT/4200225|225|225|LJ KOP Rehab Therapy|1900-01-01|3000-01-01|||||||
Fund Group|UCSDH/Medical Center/PT-OT/4200330|330|330|LJ Speech Pathology|1900-01-01|3000-01-01|||||||
Fund Group|UCSDH/Medical Center/PT-OT/4200659|659|659|HC Speech Pathology|1900-01-01|3000-01-01|||||||
Fund Group|UCSDH/Medical Center/PT-OT/4200775|775|775|HC Inpatient Therapy|1900-01-01|3000-01-01|||||||
Fund Group|UCSDH/Medical Center/PT-OT/4200779|779|779|HC Outpatient Therapy|1900-01-01|3000-01-01|||||||
Fund Group|UCSDH/Medical Center/Radiology/4200183|183|183|Cancer Ctr PET-CT|1900-01-01|3000-01-01|||||||
Fund Group|UCSDH/Medical Center/Radiology/4200191|191|191|LJ KOP Breast Imaging|1900-01-01|3000-01-01|||||||
Fund Group|UCSDH/Medical Center/Radiology/4200202|202|202|LJ CT|1900-01-01|3000-01-01|||||||
Fund Group|UCSDH/Medical Center/Radiology/4200203|203|203|LJ IR|1900-01-01|3000-01-01|||||||
Fund Group|UCSDH/Medical Center/Radiology/4200204|204|204|LJ MRI|1900-01-01|3000-01-01|||||||
Fund Group|UCSDH/Medical Center/Radiology/4200205|205|205|LJ Ultrasound|1900-01-01|3000-01-01|||||||
Fund Group|UCSDH/Medical Center/Radiology/4200206|206|206|LJ Nuclear Medicine|1900-01-01|3000-01-01|||||||
Fund Group|UCSDH/Medical Center/Radiology/4200207|207|207|LJ Diagnostic Imaging|1900-01-01|3000-01-01|||||||
Fund Group|UCSDH/Medical Center/Radiology/4200317|317|317|LJ KOP CT|1900-01-01|3000-01-01|||||||
